"","Date","Engagement","freqPost"
"1",2020-01-01,9131261,5772
"2",2020-01-02,10242832,7498
"3",2020-01-03,9381875,7456
"4",2020-01-04,10222111,6889
"5",2020-01-05,9528357,6407
"6",2020-01-06,9943451,8941
"7",2020-01-07,9806844,8916
"8",2020-01-08,8644903,8821
"9",2020-01-09,11350537,9116
"10",2020-01-10,11623518,9323
"11",2020-01-11,10107480,7864
"12",2020-01-12,7995950,6334
"13",2020-01-13,10130524,8630
"14",2020-01-14,9793267,8616
"15",2020-01-15,9750333,8881
"16",2020-01-16,10171785,9103
"17",2020-01-17,10132592,9799
"18",2020-01-18,10615574,7802
"19",2020-01-19,7764828,6756
"20",2020-01-20,9836630,8626
"21",2020-01-21,10299835,8701
"22",2020-01-22,12092953,9326
"23",2020-01-23,12317478,9844
"24",2020-01-24,9842357,9829
"25",2020-01-25,9396199,7946
"26",2020-01-26,9448949,7339
"27",2020-01-27,9968872,8946
"28",2020-01-28,9974632,8657
"29",2020-01-29,9893458,9247
"30",2020-01-30,11119598,10509
"31",2020-01-31,9813241,10086
"32",2020-02-01,9301357,8756
"33",2020-02-02,9497766,7689
"34",2020-02-03,10313011,9003
"35",2020-02-04,10646519,9136
"36",2020-02-05,10451916,9257
"37",2020-02-06,10156908,9741
"38",2020-02-07,10987090,10030
"39",2020-02-08,11179049,7953
"40",2020-02-09,12755726,7116
"41",2020-02-10,10699323,8273
"42",2020-02-11,10944357,9360
"43",2020-02-12,10528932,9911
"44",2020-02-13,11248529,11353
"45",2020-02-14,12268334,10954
"46",2020-02-15,8409358,7928
"47",2020-02-16,9652348,7445
"48",2020-02-17,10034423,9150
"49",2020-02-18,10017408,8881
"50",2020-02-19,10720520,9468
"51",2020-02-20,12348190,9978
"52",2020-02-21,10801111,9453
"53",2020-02-22,8841186,7655
"54",2020-02-23,9195215,7351
"55",2020-02-24,10386665,9812
"56",2020-02-25,11282984,9024
"57",2020-02-26,12250270,9150
"58",2020-02-27,12415488,9922
"59",2020-02-28,10861333,10374
"60",2020-02-29,8590370,8102
"61",2020-03-01,9408237,7073
"62",2020-03-02,8813333,9028
"63",2020-03-03,9705102,9479
"64",2020-03-04,9819164,9455
"65",2020-03-05,9957028,10113
"66",2020-03-06,11111817,10305
"67",2020-03-07,8805032,8422
"68",2020-03-08,8622684,6820
"69",2020-03-09,10564289,9720
"70",2020-03-10,9985687,9691
"71",2020-03-11,11972649,9956
"72",2020-03-12,10780463,9480
"73",2020-03-13,11730040,9864
"74",2020-03-14,11117842,7910
"75",2020-03-15,10363473,7203
"76",2020-03-16,11329370,9105
"77",2020-03-17,11581271,9152
"78",2020-03-18,11659504,9227
"79",2020-03-19,11159883,9023
"80",2020-03-20,10329794,9410
"81",2020-03-21,11470456,8035
"82",2020-03-22,10577678,7785
"83",2020-03-23,12219369,8527
"84",2020-03-24,12094391,9459
"85",2020-03-25,11773124,9631
"86",2020-03-26,13041468,9397
"87",2020-03-27,11969574,9654
"88",2020-03-28,12231495,8313
"89",2020-03-29,10317835,7236
"90",2020-03-30,11278511,9070
"91",2020-04-01,12220997,8945
"92",2020-04-02,12305170,9256
"93",2020-04-03,12028141,9123
"94",2020-04-04,10615758,7433
"95",2020-04-05,12216876,6974
"96",2020-04-06,11613201,7895
"97",2020-04-07,11466133,8228
"98",2020-04-08,12379456,8993
"99",2020-04-09,13087105,9231
"100",2020-04-10,12381973,8772
"101",2020-04-11,11323295,7483
"102",2020-04-12,11286908,7357
"103",2020-04-13,11467284,8915
"104",2020-04-14,10900138,8749
"105",2020-04-15,12012058,9445
"106",2020-04-16,11140432,8766
"107",2020-04-17,12308331,8633
"108",2020-04-18,11071149,7920
"109",2020-04-19,10118213,6990
"110",2020-04-20,11080859,8718
"111",2020-04-21,11557748,8935
"112",2020-04-22,11632220,9445
"113",2020-04-23,11977300,8732
"114",2020-04-24,11100739,9418
"115",2020-04-25,11380495,7884
"116",2020-04-26,10472349,7164
"117",2020-04-27,12094721,8505
"118",2020-04-28,11810300,8979
"119",2020-04-29,12473891,9144
"120",2020-04-30,11964322,9151
"121",2020-05-01,11901280,8266
"122",2020-05-02,11424226,7860
"123",2020-05-03,12011283,7364
"124",2020-05-04,10086511,7569
"125",2020-05-05,10750958,8442
"126",2020-05-06,10760699,8142
"127",2020-05-07,12294435,9139
"128",2020-05-08,11341388,8680
"129",2020-05-09,9631037,7406
"130",2020-05-10,10009055,7041
"131",2020-05-11,10286087,8667
"132",2020-05-12,11273499,8696
"133",2020-05-13,10458561,8695
"134",2020-05-14,11233388,9042
"135",2020-05-15,11388888,9392
"136",2020-05-16,11003265,7801
"137",2020-05-17,9970380,8124
"138",2020-05-18,11519005,8328
"139",2020-05-19,11091241,8736
"140",2020-05-20,11550387,8807
"141",2020-05-21,12014085,8779
"142",2020-05-22,12303977,9141
"143",2020-05-23,11202411,7650
"144",2020-05-24,11126910,7312
"145",2020-05-25,12066424,8985
"146",2020-05-26,11271899,8957
"147",2020-05-27,12394018,8974
"148",2020-05-28,11010264,9120
"149",2020-05-29,11531955,9508
"150",2020-05-30,10484021,7978
"151",2020-05-31,9990875,7455
"152",2020-06-01,12851462,9568
"153",2020-06-02,12066478,9455
"154",2020-06-03,10584534,8723
"155",2020-06-04,12641763,9439
"156",2020-06-05,11874675,9800
"157",2020-06-06,10477075,8586
"158",2020-06-07,10835459,7185
"159",2020-06-08,11334126,8957
"160",2020-06-09,11356785,9084
"161",2020-06-10,10997939,9394
"162",2020-06-11,11656085,9841
"163",2020-06-12,11097385,10232
"164",2020-06-13,10247983,8481
"165",2020-06-14,10022503,7905
"166",2020-06-15,11942658,9284
"167",2020-06-16,11851335,9783
"168",2020-06-17,12590533,10304
"169",2020-06-18,11382998,9657
"170",2020-06-19,11609743,10138
"171",2020-06-20,10678305,8807
"172",2020-06-21,10890081,7599
"173",2020-06-22,12308749,9276
"174",2020-06-23,12368569,9580
"175",2020-06-24,13279525,9739
"176",2020-06-25,13119287,10163
"177",2020-06-26,14106827,10476
"178",2020-06-27,11720870,8917
"179",2020-06-28,11309210,7607
